,tweet_id_str,date_time,location,tweet_text
0,1420505284691193866,2021-07-28 22:03:46,"Nairobi, Kenya","States that stockpile COVID-19 vaccines have committed to sharing their leftovers with low-income and middle-income countries. 
This is inexplicable since the efficacy of the vaccine will be low, the countries will be forced to dump again the vaccines.

@Telegraph #VaccineEquity https://t.co/Fxk4R6oy8Q"
1,1420500621787078661,2021-07-28 21:45:14,"Nairobi, Kenya",Samia Suluhu Rolls Out COVID-19 Vaccination Drive - https://t.co/KURG9Xeacr
2,1420491320544669702,2021-07-28 21:08:16,"Nairobi, Kenya","Covid-19 vaccine companies may have to prepare booster shots every year to handle new mutations. In fact, they have this in plan. 

Enzolytics $ENZC is the only company preparing a one time shot, not just for covid, but for all major viruses known to terrorise mankind."
3,1420489668555051012,2021-07-28 21:01:43,"Nairobi, Kenya","Why should COVID-19 vaccines expire in some countries while other poorer nations are suffering from ""vaccine inadequacy"" due to Vaccine Apartheid that is witnessed globally? Is it that hard to transport?
#VaccineEquity @Telegraph @angiyo58 @uche_blackstock https://t.co/r9bpibl0rG"
4,1420488617181523970,2021-07-28 20:57:32,"Nairobi, Kenya","Whenever i hear a country has destroyed COVID-19 Vaccines i rethink, I'm quite sure if it is an African country it cannot be caused by the notion of ""vaccine hesitancy"" we already suffer from ""vaccine  inadequacy"" so either the vaccine is about to expire or its efficacy is low. https://t.co/Ohka0inM8Z"
5,1420488296598228994,2021-07-28 20:56:15,"Nairobi, Kenya","Such COVID-19 Vaccine inequity is yet another example of how the interests of racial capitalism run roughshod over the golden rule of global solidarity—attend to the highest risk first.

#VaccineEquity"
6,1420474281088147457,2021-07-28 20:00:34,"Nairobi, Kenya","Yes, Vaccine Inequity is a liability to the progress of eradicating COVID-19.

#VaccineEquity https://t.co/ZbPt7bhjm3"
7,1420467844945518596,2021-07-28 19:34:59,"Nairobi, Kenya","Give Africa Greater access to buy #COVID19 vaccines.

@Lattif @nytimes @ONECampaign @daktari1 @Nanjala1
https://t.co/kMtMq2yWXD
#VaccineEquity #Covid_19"
8,1420461441761619969,2021-07-28 19:09:33,"Nairobi, Kenya","Vaccine Inequity is the current COVID-19 Apartheid that poorer countries are facing!

#VaccineEquity https://t.co/vPuSRKugxN"
9,1420457250750181379,2021-07-28 18:52:54,"Nairobi, Kenya","‘It's safe' - President Samia tells Tanzanians as she gets covid vaccine  
https://t.co/yiNjr0Gopp"
10,1420447654811684875,2021-07-28 18:14:46,"Kisumu, Kenya","Kenya secures 817,000 doses of Oxford-AstraZeneca Covid-19 vaccine from the UK, in efforts to fight against the virus.
The vaccines will be shipped in the coming days. CS Kagwe said that the delivery of the vaccines will start in August. https://t.co/nh8TEVYL1z"
11,1420447106054111233,2021-07-28 18:12:35,"Nairobi, Kenya","Tanzania COVID-19 vaccination:

President Samia Suluhu first to be jabbed in nationwide vaccine rollout. Pres. Suluhu calls for adherence to COVID-19 containment measures.

Tanzania received over one million Johnson &amp; Johnson vaccine doses #JKLive https://t.co/8Zrefrdno7"
12,1420446827858567177,2021-07-28 18:11:29,"Nairobi, Kenya",Covid vaccine: Eight-week gap seen as sweet spot for Pfizer jab antibodies https://t.co/Nm15vieWWm
13,1420446592444813317,2021-07-28 18:10:32,"Nairobi, Kenya","Mixing COVID-19 vaccines:

Government to adopt the mixing of COVID-19 vaccines after study. Study found use of AstraZeneca &amp; Pfizer improved antibody response.

UK government announces donation of 817,000 AstraZeneca vaccines #JKLive https://t.co/TOePIkWuGB"
14,1420443164004036613,2021-07-28 17:56:55,"Nairobi, Kenya","Vaccines inequity is an impediment that is witnessed globally. As the scramble of COVID-19 vaccines continues.
#VaccineEquity

Global vaccine equity demands reparative justice — not charity https://t.co/kT8PEJWVgV"
15,1420436974670950405,2021-07-28 17:32:19,"Kiambu, Kenya","The UK will be donating 817,000 COVID-19 vaccines to Kenya to support its vaccination programme.
#Covid_19 #CovidIsNotOver https://t.co/QVhYHHmHpj"
16,1420429025869172739,2021-07-28 17:00:44,Nairobi,Vaccine inequity is widening global recovery gap — IMF: The economic gap between the rich and poor countries is worsening because of the ongoing uneven rollout of Covid-19 vaccines globally. In Worl.. https://t.co/GJkasbNC88 via @MaudhuiHouse
17,1420424761344249863,2021-07-28 16:43:47,"Nairobi, Kenya","A year after the late president John Magufuli declared Tanzania COVID-free, his successor Samia Suluhu Hassan launched a vaccination campaign. It's optional and many still believe wild conspiracy theories https://t.co/Fr3VkqZGeJ"
18,1420424632293855234,2021-07-28 16:43:17,Nairobi kenya,"I’ll get the vaccine once they bring the original vaccine to Kenya. Sahii ni kama watu wanadungwa panadol imekorogwa kwa maji. My friend has COVID despite getting the vaccine, I don’t see people getting polio or measles anymore, why is COVID different?"
